tourney_id,tourney_name,tourney_spectators,year
2016-W-C50-SUI-01A-2016/50/kreuzlingen $50k,Kreuzlingen $50K,3743,2016
2016-7004/C/shenzhen ch,Shenzhen CH,3738,2016
2016-1027/I/istanbul,Istanbul,3737,2016
2016-0300/I/luxembourg,Luxembourg,3735,2016
2016-W-C10-GER-02A-2016/10/kaltenkirchen $10k,Kaltenkirchen $10K,3729,2016
2016-W-C10-ROU-03A-2016/10/galati $10k,Galati $10K,3729,2016
2016-W-C50-MEX-01A-2016/50/tampico $50k,Tampico $50K,3726,2016
2016-W-C10-FRA-05A-2016/10/amiens $10k,Amiens $10K,3725,2016
2016-W-C25-MEX-04A-2016/25/puebla $25k,Puebla $25K,3723,2016
2016-7581/A/chengdu,Chengdu,3722,2016
2016-W-C10-EGY-04A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3722,2016
2016-W-C10-EGY-07A-2016/10/sharm el sheikh $10k,Sharm El Sheikh $10K,3718,2016
2016-W-C50-TUR-01A-2016/50/istanbul $50k,Istanbul $50K,3717,2016
2016-3945/C/san benedetto del tronto ch,San Benedetto del Tronto CH,3717,2016
2016-6865/C/traralgon ch,Traralgon CH,3710,2016
2016-W-C25-USA-20A-2016/25/nashville tn $25k,Nashville TN $25K,3710,2016
2016-7440/C/buenos aires ch,Buenos Aires CH,3707,2016
2016-W-C25-BUL-02A-2016/25/dobrich $25k,Dobrich $25K,3706,2016
2016-W-C25-GER-07A-2016/25/horb $25k,Horb $25K,3705,2016
2016-1090/I/bol,Bol,3705,2016
2016-1087/I/kaohsiung,Kaohsiung,3704,2016
2016-W-C10-ROU-08A-2016/10/targu jiu $10k,Targu Jiu $10K,3704,2016
2016-W-C25-CHN-01A-2016/25/naiman $25k,Naiman $25K,3699,2016
2016-W-C25-IND-05A-2016/25/navi mumbai $25k,Navi Mumbai $25K,3698,2016
2016-W-C25-FRA-04A-2016/25/clermont ferrand $25k,Clermont Ferrand $25K,3694,2016
2016-3351/C/stockton ch,Stockton CH,3688,2016
2016-0398/C/cherbourg ch,Cherbourg CH,3688,2016
2016-0322/A/geneva,Geneva,3686,2016
2016-W-C10-ISR-07A-2016/10/ramat hasharon $10k,Ramat Hasharon $10K,3682,2016
2016-W-C10-POR-06A-2016/10/ponta delgada azores $10k,Ponta Delgada Azores $10K,3678,2016
2016-W-C10-ROU-09A-2016/10/arad $10k,Arad $10K,3676,2016
2016-W-C10-TUN-01A-2016/10/hammamet $10k,Hammamet $10K,3667,2016
2016-W-C10-NED-05A-2016/10/rotterdam $10k,Rotterdam $10K,3663,2016
2016-W-C25-ITA-07A-2016/25/bagnatica $25k,Bagnatica $25K,3662,2016
